date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:46	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-286823757c462253;gz%22	https://daxx.lohatheme.com/robots.txt		(from )
20:47:47	103647/103647	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2015:15:58%20GMT	https://daxx.lohatheme.com/	C:/My%20Web%20Sites/Miya/daxx.lohatheme.com/index.html	(from )
20:47:48	234264/234264	---MCZ	200	added ('OK')	application/rss+xml	etag:%222c9023334bf7ff232363c9d7d75cb6a2%22	https://daxx.lohatheme.com/?feed=rss2	C:/My%20Web%20Sites/Miya/daxx.lohatheme.com/indexd784.html	(from https://daxx.lohatheme.com/)
20:47:48	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-683b33f5-3cb2be073dd27aaf;gz%22	https://daxx.lohatheme.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	C:/My%20Web%20Sites/Miya/daxx.lohatheme.com/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://daxx.lohatheme.com/)
20:47:48	9557/9557	---MCZ	200	added ('OK')	application/rss+xml	etag:%222c9023334bf7ff232363c9d7d75cb6a2%22	https://daxx.lohatheme.com/?feed=comments-rss2	C:/My%20Web%20Sites/Miya/daxx.lohatheme.com/indexa6da.html	(from https://daxx.lohatheme.com/)
20:47:49	5260/5260	---M-Z	200	added ('OK')	text/css	etag:%22148c-683b33f5-7add8259d4b00c87;gz%22	https://daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/magnific-popup/css/magnific-popup.min.css?ver=6.8.1	C:/My%20Web%20Sites/Miya/daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/magnific-popup/css/magnific-popup.min0899.css	(from https://daxx.lohatheme.com/)
20:47:50	155845/155845	---M-Z	200	added ('OK')	text/css	etag:%22260c5-683b33f5-26d69a85b50fd012;gz%22	https://daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/bootstrap/css/bootstrap.min.css?ver=6.8.1	C:/My%20Web%20Sites/Miya/daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/bootstrap/css/bootstrap.min0899.css	(from https://daxx.lohatheme.com/)
20:47:50	3076/3076	---M-Z	200	added ('OK')	text/css	etag:%22c04-683b33f5-94c2b09bffee124d;gz%22	https://daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/nice-select/css/nice-select.min.css?ver=6.8.1	C:/My%20Web%20Sites/Miya/daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/nice-select/css/nice-select.min0899.css	(from https://daxx.lohatheme.com/)
20:47:51	173746/173746	---M-Z	200	added ('OK')	text/css	etag:%222a6b2-683b33f5-9b8475588cd02a62;gz%22	https://daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/fontawesome-5.14.0.min.css?ver=6.8.1	C:/My%20Web%20Sites/Miya/daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/fontawesome-5.14.0.min0899.css	(from https://daxx.lohatheme.com/)
20:47:51	59675/59675	---M-Z	200	added ('OK')	text/css	etag:%22e91b-683b33f5-5a69d25aad72b425;gz%22	https://daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/animate.min.css?ver=6.8.1	C:/My%20Web%20Sites/Miya/daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/animate.min0899.css	(from https://daxx.lohatheme.com/)
20:47:51	1346/1346	---M-Z	200	added ('OK')	text/css	etag:%22542-683b33f5-5d459c62146e91cf;gz%22	https://daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/slick/css/slick.min.css?ver=6.8.1	C:/My%20Web%20Sites/Miya/daxx.lohatheme.com/wp-content/themes/daxx/assets/vendor/slick/css/slick.min0899.css	(from https://daxx.lohatheme.com/)
20:47:52	122924/122924	---M-Z	200	added ('OK')	text/css	etag:%221e02c-683b33f5-993dc4e36b707cc2;gz%22	https://daxx.lohatheme.com/wp-content/themes/daxx/assets/css/style.css?ver=6.8.1	C:/My%20Web%20Sites/Miya/daxx.lohatheme.com/wp-content/themes/daxx/assets/css/style0899.css	(from https://daxx.lohatheme.com/)
